Building_ID,Address,Building_Type,Build_Year,Zip,State,City,Community_Name,Community_Number,Latitude,Longitude,Location
158438,430 N Michigan Ave,Commercial,1985-03-01,60611.0,VA,Reed Point,NEAR NORTH SIDE,8.0,41.890377,-87.62468,"(41.8903758, -87.62467983)"
158472,8 W Monroe St,Residential,1957-03-01,60603.0,IL,Rockbridge,LOOP,32.0,41.88096,-87.6278,"(41.88095952, -87.6277973)"
158630,375 425 W Erie St,Residential,1921-03-01,60654.0,VA,Campbellton,NEAR NORTH SIDE,8.0,41.893692,-87.63934,"(41.89369142, -87.63934318)"
158640,2000 - 2052 N Lincoln Park West,Residential,1936-03-01,60614.0,VA,Russell,LINCOLN PARK,7.0,41.91944,-87.636375,"(41.91944034, -87.63637786)"
158644,1340 N Astor St,Residential,1907-03-01,60610.0,VA,Mingo,NEAR NORTH SIDE,8.0,41.870132,-87.70168,"(41.9070422, -87.62817979)"
158646,2550 N Lakeview Ave,Residential,1985-03-01,60614.0,VA,Reed Point,LINCOLN PARK,7.0,41.9291,-87.63927,"(41.92909901, -87.63926719)"
158647,1317 1325 N STATE PKWY,Residential,1914-03-01,60610.0,VA,Northgate,NEAR NORTH SIDE,8.0,41.87118,-87.62812,"(41.90641717, -87.62835303)"
158651,1350 N Lake Shore Dr,Residential,1970-03-01,60610.0,VA,Snake Creek,NEAR NORTH SIDE,8.0,41.90713,-87.62642,"(41.90713265, -87.62642061)"
158668,2720 N Sheffield Ave,Municipal,1970-03-01,60614.0,VA,Snake Creek,WASHINGTON HEIGHTS,73.0,41.931744,-87.65423,"(41.93174258, -87.65422701)"
158724,2200 S Western Ave,Commercial,2014-03-01,60608.0,IL,Sale Creek,LOWER WEST SIDE,31.0,41.89217,-87.63413,"(41.85133139, -87.68690376)"
158774,4950 N ASHLAND AVE,Residential,1917-03-01,60640.0,IL,Manchester,UPTOWN,3.0,41.884483,-87.62973,"(41.97200247, -87.67000465)"
158780,4001 N Ravenswood Ave,Commercial,1900-03-01,60613.0,VA,Ebony,LAKE VIEW,6.0,41.90578,-87.66365,"(41.95448307, -87.67334593)"
158841,6631 N Bosworth Ave,Municipal,1957-03-01,60626.0,IL,Rockbridge,ROGERS PARK,1.0,42.00281,-87.66894,"(42.00281107, -87.66893497)"
158867,1642 E 56th St,Residential,1925-03-01,60637.0,IL,Big Foot Prairie,HYDE PARK,8.0,41.79382,-87.58494,"(41.79381936, -87.58493468)"
158873,5801 5811 S DORCHESTER AVE,Residential,2012-03-01,60637.0,IL,Moorland,HYDE PARK,41.0,41.78926,-87.591194,"(41.78926257, -87.59119396)"
